"S.ID","CODE","TREAT","G.ID","PAY","LABEL","LUCK","EFFORT","SKILL","BAVG3","BMAXB3","BAVG4","BMAXA4","BMAXB4","BAVG5","BMAXA5","BMAXB5","BAVG6","BMAXA6","BMAXB6","BAVG7","BMAXA7","BMAXB7","BAVG8","BMAXA8","BMAXB8","PROD","PROD0","PROD1","PROD2","PROD3","PROD4","PROD5","PROD6","PROD7","PROD8","SHARE3","SHARE4","SHARE5","SHARE6","SHARE7","SHARE8","SWITCH1","SWITCH2","SWITCH3","SWITCH4","SWITCH5","SWITCH6","SWITCH7","SWITCH8","CHILL","CHILL1","CHILL2","CHILL3","CHILL4","CHILL5","CHILL6","CHILL7","CHILL8","ADDT1","ADDT2","ADDT3","ADDT4","ADDT5","ADDT6","ADDT7","ADDT8","OUTPUT","OUTPUT1","OUTPUT2","OUTPUT3","OUTPUT4","OUTPUT5","OUTPUT6","OUTPUT7","OUTPUT8","TIME001","TIME002","TIME003","TIME004","TIME005","TIME101","TIME102","TIME103","TIME104","TIME105","TIME106","TIME107","TIME108","TIME109","TIME110","TIME111","TIME112","TIME113","TIME114","TIME115","TIME116","TIME117","TIME118","TIME119","TIME120","TIME121","TIME122","TIME123","TIME124","TIME125","TIME126","TIME127","TIME128","TIME129","TIME130","TIME201","TIME202","TIME203","TIME204","TIME205","TIME206","TIME207","TIME208","TIME209","TIME210","TIME211","TIME212","TIME213","TIME214","TIME215","TIME216","TIME217","TIME218","TIME219","TIME220","TIME221","TIME222","TIME223","TIME224","TIME225","TIME226","TIME227","TIME228","TIME229","TIME230","TIME301","TIME302","TIME303","TIME304","TIME305","TIME306","TIME307","TIME308","TIME309","TIME310","TIME311","TIME312","TIME313","TIME314","TIME315","TIME316","TIME317","TIME318","TIME319","TIME320","TIME321","TIME322","TIME323","TIME324","TIME325","TIME326","TIME327","TIME328","TIME329","TIME330","TIME401","TIME402","TIME403","TIME404","TIME405","TIME406","TIME407","TIME408","TIME409","TIME410","TIME411","TIME412","TIME413","TIME414","TIME415","TIME416","TIME417","TIME418","TIME419","TIME420","TIME421","TIME422","TIME423","TIME424","TIME425","TIME426","TIME427","TIME428","TIME429","TIME430","TIME501","TIME502","TIME503","TIME504","TIME505","TIME506","TIME507","TIME508","TIME509","TIME510","TIME511","TIME512","TIME513","TIME514","TIME515","TIME516","TIME517","TIME518","TIME519","TIME520","TIME521","TIME522","TIME523","TIME524","TIME525","TIME526","TIME527","TIME528","TIME529","TIME530","TIME601","TIME602","TIME603","TIME604","TIME605","TIME606","TIME607","TIME608","TIME609","TIME610","TIME611","TIME612","TIME613","TIME614","TIME615","TIME616","TIME617","TIME618","TIME619","TIME620","TIME621","TIME622","TIME623","TIME624","TIME625","TIME626","TIME627","TIME628","TIME629","TIME630","TIME701","TIME702","TIME703","TIME704","TIME705","TIME706","TIME707","TIME708","TIME709","TIME710","TIME711","TIME712","TIME713","TIME714","TIME715","TIME716","TIME717","TIME718","TIME719","TIME720","TIME721","TIME722","TIME723","TIME724","TIME725","TIME726","TIME727","TIME728","TIME729","TIME730","TIME801","TIME802","TIME803","TIME804","TIME805","TIME806","TIME807","TIME808","TIME809","TIME810","TIME811","TIME812","TIME813","TIME814","TIME815","TIME816","TIME817","TIME818","TIME819","TIME820","TIME821","TIME822","TIME823","TIME824","TIME825","TIME826","TIME827","TIME828","TIME829","TIME830","GROUP","GPROD3","GPROD4","GPROD5","GPROD6","GPROD7","GPROD8","SCODE","tech0","tech1","tech2","tech3","tech4","tech5","tech6","tech7","tech8"
1,"85fptwho",0,1,19.94000002,"A",1,7,10,18,40,20,24,24,20,24,20,24,24,26,25,24,30,25,28,27,71.0000002,5,17,0,1e-07,9,1e-07,9,15,21,1.36986301182211e-09,0.0947368421052632,1.47058823313149e-09,0.2,0.182926829268293,0.313432835353085,0,1,4,82,2,65,120,122,1284,0,239,236,158,238,175,120,118,0,1,4,13,2,10,8,2,199.4000002,17,23.9,23.6000001,24.8,23.8000001,26.5,27,32.8,14,36,4,10,9,5,8,6,6,6,7,6,6,8,9,20,11,11,27,16,13,28,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,5,5,6,8,8,6,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,10,4,4,7,5,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,3,4,5,5,26,6,11,11,8,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,3,3,4,4,3,4,5,6,5,7,6,6,7,6,7,7,11,11,0,0,0,0,0,0,0,0,0,1,73.0000001,95,68.0000001,0,82,67.0000001,"g66t9sje",0,0,1,0,0,1,0,0,1
2,"7zbja1h8",0,2,22.23,"B",4,8,7,8,7,10,20,12,12,20,12,12,20,12,12,20,11,12,19,12,79,5,6,11,9,11,14,17,9,2,0.123287671063989,0.115789473684211,0.205882352638408,0.2,0.109756097560976,0.0298507462241034,52,56,55,73,92,86,64,9,1433,188,184,185,167,148,154,176,231,3,1,2,1,2,2,1,2,222.3,24.8,29.4,27.5,27.7,28.8,32.4,26.6,25.1,8,25,4,13,7,3,5,5,8,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,3,7,6,5,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,6,6,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,5,4,6,6,6,9,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,3,3,4,4,4,10,5,5,15,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,4,4,4,4,5,4,5,5,9,5,8,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,5,6,7,6,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73.0000001,95,68.0000001,0,82,67.0000001,"g66t9sje",0,0,1,0,0,1,1,0,0
3,"hk3cyl8a",0,3,20.59000001,"C",0,0,0,5,15,10,15,12,25,30,20,15,25,10,18,25,14,0,0,0,116.0000001,5,25,0,23,27,15,10,16,1e-07,0.315068492719084,0.284210526315789,0.220588234969723,0.2,0.195121951219512,1.49253731120517e-09,0,2,0,128,72,41,58,0,899,0,238,0,112,168,199,182,0,0,2,0,2,2,2,7,0,205.9000001,25,23.8,23,38.2,31.8,29.9,34.2,1e-07,6,13,2,7,5,2,1,4,4,6,5,3,6,8,5,6,8,7,8,9,8,10,25,10,12,12,13,13,14,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,5,7,4,5,5,6,8,18,7,9,10,10,8,8,25,14,15,11,11,12,14,6,0,0,0,0,0,0,4,4,2,1,1,1,2,2,4,3,3,4,3,5,4,5,5,10,5,12,7,6,6,5,7,7,8,0,0,0,4,1,3,2,2,2,3,5,5,4,6,6,12,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,3,2,6,4,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,2,1,2,2,2,2,2,2,3,7,5,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73.0000001,95,68.0000001,0,82,67.0000001,"g66t9sje",0,0,1,0,1,0,0,1,0
4,"9mmdn4q4",0,4,19.68,"D",4,7,5,20,37,27,45,35,30,50,40,24,40,27,24,40,29,20,32,25,152,5,24,0,17,23,23,25,24,16,0.232876712009758,0.242105263157895,0.338235293620242,0.2,0.292682926829268,0.238805969792827,0,0,122,118,0,0,154,118,448,0,0,118,122,0,0,86,122,0,0,3,5,0,0,8,12,196.8,24,0,28.8,35.2,23,25,32.6,28.2,5,17,2,7,6,2,2,3,4,9,6,5,6,7,8,8,9,8,10,10,10,11,13,12,15,14,16,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,4,4,4,6,5,6,15,8,7,9,10,9,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,3,4,3,4,4,3,5,5,4,5,6,6,5,5,5,5,18,8,7,0,0,0,0,0,0,0,2,1,2,4,3,3,3,7,6,9,7,6,9,8,8,20,10,13,10,13,13,14,13,0,0,0,0,0,0,0,3,2,1,4,2,3,2,4,3,4,3,5,4,9,5,5,9,6,6,6,9,7,7,7,6,0,0,0,0,0,30,2,1,4,3,2,3,3,4,0,1,5,0,1,5,7,7,6,7,7,12,9,8,19,0,0,0,0,0,0,7,2,3,3,4,2,5,4,7,8,10,3,9,11,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73.0000001,95,68.0000001,0,82,67.0000001,"g66t9sje",0,0,1,0,1,0,1,1,0
5,"6ek8jjn6",0,5,23.37,"E",4,8,7,21,26,26,35,26,26,35,29,27,38,31,29,42,32,29,40,32,174,5,15,26,24,25,16,22,18,28,0.328767122837305,0.263157894736842,0.235294117301038,0.2,0.219512195121951,0.417910447137447,118,172,0,0,115,174,116,148,597,122,68,0,0,125,66,124,92,2,13,0,0,12,1,4,2,233.7,27.2,32.8,24,25,28.5,28.6,30.4,37.2,4,14,4,8,6,6,2,4,4,9,9,5,7,14,8,8,12,8,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,2,3,4,4,6,4,4,5,4,6,8,7,8,6,7,8,9,7,8,14,6,9,11,0,0,0,2,2,2,2,4,7,4,4,6,6,7,8,7,20,8,7,12,17,16,15,13,10,12,15,18,0,0,0,0,0,3,5,2,4,3,4,4,4,6,6,7,10,8,9,9,10,11,15,15,10,12,12,14,12,17,0,0,0,0,0,2,2,3,3,3,3,4,5,6,6,10,7,9,9,9,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,3,3,5,4,15,6,7,5,9,8,7,12,13,12,12,15,12,15,0,0,0,0,0,0,0,0,2,3,2,3,3,4,6,4,8,7,6,8,9,7,10,9,11,10,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,2,2,4,2,4,3,4,4,4,5,5,5,5,7,6,8,7,8,7,8,9,8,10,10,0,0,1,73.0000001,95,68.0000001,0,82,67.0000001,"g66t9sje",0,0,1,0,0,0,0,0,1
1,"82r0gsz9",1,1,20.32,"A",3,7,7,16,20,18,30,20,20,25,20,20,25,25,20,30,22,25,29,25,153,5,16,21,18,26,20,29,12,11,0.204545454545455,0.216666666666667,0.168067226890756,0.2,0.0991735537190083,0.0932203389830508,136,141,0,222,0,0,109,90,502,104,99,0,18,0,0,131,150,1,1,0,17,0,0,15,13,203.2,26.4,30.9,18,27.8,20,29,25.1,26,5,13,1,7,5,4,6,6,4,6,22,4,6,6,7,8,9,9,12,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,2,4,4,2,5,12,5,7,7,7,11,8,9,11,10,12,15,0,0,0,0,0,0,0,0,0,21,2,4,3,7,7,5,11,9,21,9,29,11,16,9,10,20,22,10,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1,2,5,3,4,5,7,4,6,5,7,8,11,5,8,9,6,9,12,11,18,25,10,15,0,0,0,3,1,3,2,5,5,4,9,6,12,25,11,12,14,12,15,15,25,17,26,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,4,3,4,2,5,5,8,4,9,6,5,4,6,7,5,12,10,10,9,14,11,12,38,19,0,3,5,8,3,3,6,7,10,10,7,8,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,9,6,6,8,6,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88,120,119,0,121,118,"04itohbs",0,0,1,0,1,0,1,0,0
2,"58c167l9",1,2,21.88000001,"B",7,7,6,20,30,20,28,20,24,30,22,25,31,24,23,30,25,24,30,25,160.0000001,5,16,26,18,21,25,1e-07,27,27,0.204545454545455,0.175,0.210084033613445,0.2,0.223140495867769,0.228813559322034,109,153,108,144,189,0,191,198,588,131,87,132,96,51,0,49,42,1,12,1,1,1,0,1,2,218.8000001,29.1,34.7,31.2,30.6,30.1,1e-07,31.9,31.2,5,14,4,8,6,3,3,4,10,7,6,4,6,6,7,7,9,8,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,3,3,4,4,4,3,4,4,5,4,5,6,11,6,6,8,5,7,15,6,8,9,0,0,0,3,4,3,4,3,4,5,6,6,5,7,6,7,8,8,7,10,11,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,4,4,5,6,7,14,10,9,8,8,8,9,10,9,12,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,4,6,7,6,6,6,8,9,8,9,9,11,10,12,10,12,12,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,2,3,3,3,5,5,4,7,5,7,10,7,7,9,9,11,9,9,12,15,12,12,12,0,0,0,3,1,2,2,3,3,3,4,7,5,6,7,8,6,7,8,10,8,10,9,11,12,9,11,12,13,16,0,0,0,1,88,120,119,0,121,118,"04itohbs",0,0,1,0,0,0,1,0,0
3,"xqt3jbo2",1,3,24.78,"C",5,8,7,14,18,17,25,20,21,30,24,25,30,25,18,30,24,20,30,24,173,5,18,26,13,21,29,20,24,22,0.147727272727273,0.175,0.243697478991597,0.2,0.198347107438017,0.186440677966102,143,143,96,157,148,145,186,154,748,97,97,144,83,92,95,54,86,12,3,16,2,2,1,1,0,247.8,27.7,35.7,27.4,29.3,38.2,29.5,29.4,30.6,14,19,2,8,7,2,3,4,4,5,5,4,5,6,8,7,8,8,10,9,11,9,13,10,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,4,4,5,8,5,7,5,7,7,6,8,9,9,5,7,8,7,9,0,0,0,0,3,3,3,3,4,5,5,4,6,6,7,8,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,3,3,4,4,4,5,7,7,9,9,9,8,18,10,12,12,10,12,0,0,0,0,0,0,0,0,0,3,2,2,2,2,3,3,2,2,2,4,5,4,4,4,6,5,5,6,6,9,6,7,7,8,7,6,8,8,8,3,3,3,3,3,4,5,4,6,7,7,5,10,9,9,10,9,10,13,21,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,9,3,6,6,5,8,8,8,9,10,10,11,11,11,12,12,11,17,0,0,0,0,0,0,3,2,3,2,3,3,4,4,5,5,11,7,8,8,8,9,10,11,10,10,14,14,0,0,0,0,0,0,0,0,1,88,120,119,0,121,118,"04itohbs",0,0,1,0,0,1,0,0,0
4,"qwl3m4nh",1,4,27.45,"D",6,7,7,20,35,25,37,30,18,25,16,25,38,37,19,38,25,27,38,39,190,5,12,27,17,29,29,18,29,29,0.193181818181818,0.241666666666667,0.243697478991597,0.2,0.239669421487603,0.245762711864407,72,149,143,160,147,131,137,136,845,168,91,97,80,93,109,103,104,2,1,15,15,1,14,4,1,274.5,28.8,36.1,26.7,37,38.3,28.9,39.3,39.4,5,16,3,7,5,4,2,3,4,5,5,3,5,9,7,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,4,3,2,4,5,4,7,4,6,5,11,5,5,6,8,10,5,8,7,7,8,13,0,0,0,22,2,2,3,3,4,6,5,5,6,6,7,7,9,8,7,13,13,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,4,3,3,4,3,5,4,4,3,5,4,4,13,7,6,5,8,8,8,6,7,13,3,2,2,2,3,3,2,2,2,2,3,6,4,4,5,5,4,6,5,6,8,5,7,6,9,7,6,10,7,10,4,3,2,3,2,3,5,4,5,6,7,5,10,7,8,13,8,10,12,0,0,0,0,0,0,0,0,0,0,0,4,3,4,2,2,2,2,2,3,2,3,3,4,4,4,4,5,5,6,5,4,6,9,6,7,7,8,8,6,3,2,3,2,2,1,3,3,2,3,2,3,3,4,3,4,4,7,6,5,6,5,5,6,8,7,6,9,7,7,7,1,88,120,119,0,121,118,"04itohbs",0,0,1,0,1,1,0,1,1
5,"xf0bdkc0",1,5,21.55,"E",7,9,7,18,20,17,10,9,26,29,18,24,28,26,18,18,18,24,27,29,157,5,14,0,22,23,16,24,29,29,0.25,0.191666666666667,0.134453781512605,0.2,0.239669421487603,0.245762711864407,122,4,0,0,117,0,163,209,585,118,236,0,0,123,0,77,31,16,4,0,0,2,0,5,1,215.5,25.8,23.6,22,23,28.3,24,36.7,32.1,5,15,4,11,8,4,2,4,4,7,6,4,6,9,10,7,12,9,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,3,3,3,5,6,5,12,11,24,10,9,17,11,9,15,17,13,12,13,11,0,0,0,0,0,0,0,0,31,3,3,3,3,4,4,4,5,7,10,7,9,9,9,9,7,12,13,11,17,15,13,12,0,0,0,0,0,0,3,2,3,3,3,3,4,6,8,7,8,12,10,10,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,5,3,3,6,4,8,8,9,9,13,15,8,13,9,7,18,16,17,13,10,15,0,0,0,0,0,0,5,1,1,2,2,2,2,3,3,4,4,5,4,5,4,6,7,8,7,7,6,6,11,6,11,11,7,9,7,2,13,3,1,2,2,3,9,2,4,2,3,5,9,6,8,6,5,6,8,15,15,17,7,9,9,9,9,9,11,1,1,88,120,119,0,121,118,"04itohbs",0,0,1,0,0,0,0,1,1
